;name;author;narrator;time;releasedate;language;stars;price;ratings
0;Die Armada der Irren;JensFischerRodrian;AllysonVoller;290;2022-03-28;german;0.0;468.0;0
1;A Man Without Breath;PhilipKerr;JonathanKeeble;895;2022-03-03;English;0.0;585.0;0
2;Crashing Through;RobertKurson;DougOrdunio;612;2007-04-30;English;5.0;1005.0;1
3;Nate the Great and the Earth Day Robot;AndrewSharmat;JohnLavelle;24;2021-05-25;English;0.0;100.0;0
4;Annabel;KathleenWinter;LaurenceBouvard;704;2011-06-10;English;0.0;752.0;0
5;Narrow Dog to Wigan Pier;TerryDarlington;SteveHodson;567;2012-12-20;English;0.0;683.0;0
6;蜘蛛の糸;芥川龍之介;伊藤治明;10;2022-02-25;japanese;0.0;139.0;0
7;Gangster Squad;PaulLieberman;RobertPetkoff;835;2012-08-07;English;0.0;181.0;0
8;Cyanide with Christie;KatherineBolgerHyde;CarolineShaffer;500;2019-11-05;English;4.0;773.0;1
9;No Place to Hide;GlennGreenwald;L.J.Ganser;589;2014-08-19;English;4.5;668.0;6
11;Phantom Heart;KellyCreagh;EmilyEllet,TomBerkeley,MichaelCrouch;822;2021-08-17;English;5.0;1382.0;1
12;Don't Mess with the Carter Boys;Desiree;MistyReign;553;2018-12-11;English;0.0;820.0;0
13;Working Girls;Katt,Buck50Productions;iiKane;435;2018-05-01;English;0.0;820.0;0
14;Invest Like Warren Buffett;MatthewR.Kratter;MikeNorgaard;48;2017-01-20;English;5.0;132.0;5
15;Das Geheimnis der Schwestern;SerenaValentino,EllenKurtz-Übersetzer;TanjaGeke;331;2021-10-04;german;0.0;300.0;0
16;Star Wars: Ahsoka;E.K.Johnston;AshleyEckstein;424;2016-10-11;English;5.0;1256.0;18
17;Traitor General;DanAbnett;TobyLongworth;665;2022-03-26;English;0.0;1138.0;0
18;Proper English;KJCharles;BellaLowe;441;2019-10-08;English;0.0;668.0;0
19;思い通りに人を動かすヤバい話し方;Dr.ヒロ;岩崎了,Dr.ヒロ;269;2021-09-03;japanese;0.0;1255.0;0
20;Perfect Phrases for Setting Performance Goals;DouglasMax,RobertBacal;FredFilbrich;200;2021-08-04;English;3.0;585.0;1
21;第398回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;16;2018-05-16;japanese;0.0;139.0;0
22;The Blind Man;D.H.Lawrence;PaulMetcalfe;42;2022-02-28;English;0.0;117.0;0
23;Hochgekämpft;AhmedChaer,HussenChaer;EkoFresh;368;2022-02-22;german;0.0;669.0;0
24;The Easy Way for Women to Stop Smoking;AllenCarr;KarinaFernandez;498;2013-07-12;English;1.0;759.0;1
25;Rapunzel - Eventyrdagen;Disney,TineS.Norbøll;AnnevigScheldeEbbe;57;2021-11-26;danish;0.0;166.0;0
26;The Learning Brain;TheGreatCourses;ProfessorThadA.PolkPhDCarnegieMellonUniversity;743;2018-05-25;English;4.5;1171.0;10
27;Kiss and Break Up;EllaFields;KathrynLynhurst,BrandonUtah;567;2019-06-26;English;0.0;1172.0;0
28;Think Big;HaraldSeiz;DerekShetterly;339;2020-08-26;English;0.0;535.0;0
29;Senator Sam Ervin, Last of the Founding Fathers;KarlE.Campbell;DavidStampone;894;2014-02-10;English;0.0;1003.0;0
30;Holding Still for as Long as Possible;ZoeWhittall;StephenIra,KirstenPotter,RachelJacobs,;456;2020-05-26;English;0.0;1172.0;0
31;The Miracles of Exodus;ColinHumphreys;WilliamNeenan;798;2014-01-17;English;0.0;836.0;0
32;The Miracle;Osho;Osho;1001;2020-12-15;English;5.0;422.0;4
33;Arsène Lupin. La aguja hueca;MauriceLeblanc;DanielGarcía;425;2022-01-12;spanish;0.0;499.0;0
34;The Damaged;Tijan;EmmaGalvin,JoeArden;539;2022-02-08;English;0.0;585.0;0
35;The Real Santa;NancyRedd;TorianBrackett;6;2021-10-26;English;0.0;251.0;0
36;The Hunted One;BrittneySahin;TylerJohnson,AvaLucas;710;2021-12-13;English;0.0;836.0;0
37;Vaffanguru;KaBizzarro;JacopoCalatroni;78;2021-06-17;italian;0.0;113.0;0
38;Uncommon Courage;JuliaJones;MarkMeadows;779;2022-03-17;English;0.0;1215.0;0
